Radius,Radius_kpc,P.A.,e_P.A.,P.A._adopted,i,e_i,i_adopted,v_rot,e_v_rot,Σ_HI
120,27.41,38,0.3,38.4,73.3,0.7,73.5,230.1,6.6,0.29
121.67,27.79,38.5,0.3,38.2,72.4,0.9,73.6,229.8,3,0.23
123.33,28.17,37.8,0.3,37.8,75.6,0.5,74,230.4,5.2,0.2
125,28.56,37.2,0.3,37.4,73.7,0.9,73.5,230.9,2.9,0.21
126.67,28.94,37,0.3,37,71.5,1.1,72.5,229.8,2.1,0.17
128.33,29.32,36.6,0.5,36.4,73.3,1.5,71.3,228.8,1.8,0.1
130,29.7,36.2,0.4,34.9,68.2,2,69.3,238.3,3.3,0.08
131.67,30.08,31.7,1.3,32.5,67.8,1.8,67.2,243.6,1.4,0.07
133.33,30.46,29.6,1.7,31,64.2,2.5,65.7,247.3,3.1,0.07
135,30.84,...,...,31.1,66.2,1.6,64.8,247.8,1.3,0.1
136.67,31.22,31.4,6,31.3,61.7,3.5,64.8,248.4,2,0.08
138.33,31.61,...,...,31.6,67.7,1.6,66.6,248.1,1.5,0.07
140,31.99,...,...,32,69.1,1.1,68.7,244.5,1.6,0.06
141.67,32.37,...,...,32.3,70.4,1.3,70.1,244.4,3,0.06
143.33,32.75,31.4,1.8,32.6,69.7,2.5,72.1,241.7,4.3,0.06
145,33.13,36,0.3,34.5,...,...,72.9,237.7,1.9,0.02
146.67,33.51,35.3,0.4,35.8,...,...,73.7,237.6,6.1,0.01
148.33,33.89,...,...,36.2,,,74.5,244.9,3.6,0.01
150,34.27,37.3,0.3,36.5,77.3,1.5,75.2,247.9,3.2,0.01
151.67,34.66,36.8,0.6,36.5,78,0.8,77.3,256.3,3.1,0.02
153.33,35.04,35.8,0.5,36.3,78.1,1.2,77.6,253.5,4.1,0.03
155,35.42,...,...,36.3,76.5,3,77.3,244.3,4.7,0.02
156.67,35.8,...,...,36.3,77.2,1.8,77.7,249.3,5.8,0.02
158.33,36.18,...,...,36.3,,,78.2,255.7,4.5,0.02
160,36.56,36.2,0.4,36.3,78.9,1.1,78.7,255,5.8,0.02
161.67,36.94,36.7,0.9,36.5,80,0.7,79.4,271.1,7.8,0.03
163.33,37.32,34.8,2,36.6,79.3,0.9,79.5,269.8,4.7,0.03
165,37.71,36,0.6,36.7,79.4,1.4,79.4,258.2,10.7,0.03
166.67,38.09,36.6,1.4,36.7,79.3,1.2,79.4,275.1,4.8,0.02
